state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
California,No,Extended,Master,Employed,M,Suburban,Married,Personal,L3,Offer2,Web,Two-Door Car,Medsize
Arizona,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal,L1,Offer4,Agent,Four-Door Car,Small
Oregon,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer3,Branch,Luxury,Small
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L2,Offer4,Web,Two-Door Car,Medsize
Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate,L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Extended,College,Employed,F,Rural,Married,Personal,L3,Offer2,Call Center,Four-Door Car,Small
Arizona,No,Basic,Master,Unemployed,M,Urban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Corporate,L3,Offer1,Branch,Four-Door Car,Large
Nevada,Yes,Basic,High School or Below,Other,M,Suburban,Divorced,Personal,L2,Offer1,Branch,SUV,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,L2,Offer2,Web,SUV,Medsize
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal,L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,Employed,M,Suburban,Married,Personal,L2,Offer4,Branch,Four-Door Car,Small
California,No,Basic,College,Unemployed,F,Suburban,Single,Personal,L3,Offer3,Web,Four-Door Car,Medsize
California,No,Extended,Master,Employed,F,Rural,Married,Personal,L3,Offer2,Call Center,Four-Door Car,Small
Nevada,No,Basic,Bachelor,Other,F,Suburban,Married,Personal,L3,Offer1,Branch,Four-Door Car,Small
Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Extended,College,Other,F,Suburban,Single,Personal,L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Other,F,Suburban,Divorced,Personal,L2,Offer4,Web,Four-Door Car,Large
Oregon,No,Extended,Master,Employed,M,Urban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate,L1,Offer2,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Corporate,L3,Offer2,Agent,Luxury,Small
California,No,Basic,Doctor,Employed,F,Rural,Married,Corporate,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,College,Employed,M,Suburban,Married,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,Yes,Basic,High School or Below,Other,F,Suburban,Divorced,Corporate,L3,Offer1,Branch,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal,L1,Offer1,Call Center,SUV,Small
Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Personal,L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal,L2,Offer1,Agent,Luxury,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer3,Agent,Luxury,Large
California,No,Basic,College,Employed,F,Suburban,Married,Personal,L1,Offer1,Branch,Four-Door Car,Small
Oregon,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,L3,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,L2,Offer1,Branch,Two-Door Car,Large
California,No,Basic,College,Other,M,Suburban,Married,Personal,L2,Offer2,Branch,Four-Door Car,Large
Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Web,Four-Door Car,Medsize
Washington,No,Basic,College,Unemployed,M,Suburban,Single,Personal,L2,Offer1,Branch,Four-Door Car,Small
Arizona,No,Basic,Bachelor,Unemployed,M,Urban,Divorced,Personal,L3,Offer1,Branch,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal,L3,Offer1,Call Center,SUV,Medsize
Nevada,No,Premium,Bachelor,Employed,M,Suburban,Single,Personal,L3,Offer3,Agent,Four-Door Car,Medsize
California,No,Premium,College,Employed,M,Suburban,Married,Personal,L1,Offer1,Agent,Luxury,Medsize
California,No,Extended,High School or Below,Employed,M,Rural,Married,Personal,L3,Offer3,Agent,Two-Door Car,Medsize
Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal,L3,Offer1,Branch,Four-Door Car,Medsize
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer3,Branch,Luxury,Small
Arizona,No,Basic,College,Employed,M,Suburban,Married,Corporate,L2,Offer4,Agent,Four-Door Car,Small
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate,L2,Offer2,Branch,Two-Door Car,Small
Oregon,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer1,Agent,SUV,Medsize
California,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Corporate,L3,Offer2,Web,Four-Door Car,Medsize
Arizona,Yes,Basic,College,Other,F,Suburban,Divorced,Personal,L2,Offer1,Agent,SUV,Small
California,Yes,Basic,College,Unemployed,F,Suburban,Single,Personal,L2,Offer1,Agent,Four-Door Car,Large
Oregon,No,Extended,Bachelor,Unemployed,M,Rural,Married,Personal,L3,Offer1,Branch,Two-Door Car,Large
Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Branch,Four-Door Car,Large
Nevada,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate,L2,Offer2,Call Center,Four-Door Car,Small
Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,L3,Offer2,Web,Two-Door Car,Medsize
Washington,No,Extended,College,Unemployed,M,Suburban,Single,Personal,L3,Offer3,Branch,Four-Door Car,Small
Oregon,No,Basic,Doctor,Employed,F,Urban,Married,Personal,L2,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,College,Employed,F,Suburban,Married,Personal,L1,Offer3,Branch,SUV,Medsize
Oregon,Yes,Extended,High School or Below,Employed,M,Rural,Divorced,Special,L2,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,College,Unemployed,F,Suburban,Single,Corporate,L3,Offer1,Agent,Two-Door Car,Large
Washington,No,Basic,Master,Employed,F,Urban,Married,Personal,L2,Offer4,Branch,SUV,Small
Arizona,No,Basic,College,Employed,F,Urban,Married,Personal,L2,Offer2,Call Center,SUV,Medsize
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,L3,Offer1,Call Center,SUV,Medsize
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Agent,SUV,Small
Oregon,No,Basic,College,Employed,F,Urban,Single,Personal,L2,Offer1,Web,SUV,Medsize
Nevada,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate,L1,Offer1,Call Center,Two-Door Car,Medsize
Oregon,Yes,Extended,Doctor,Employed,M,Suburban,Married,Personal,L1,Offer2,Branch,SUV,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Urban,Divorced,Corporate,L2,Offer2,Agent,SUV,Small
California,No,Extended,College,Employed,M,Suburban,Married,Corporate,L1,Offer1,Web,Four-Door Car,Small
Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Personal,L1,Offer1,Call Center,Four-Door Car,Medsize
Washington,No,Premium,Doctor,Employed,F,Urban,Married,Personal,L3,Offer2,Web,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,Employed,M,Urban,Married,Personal,L3,Offer1,Agent,SUV,Medsize
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,Employed,F,Rural,Divorced,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,M,Urban,Single,Personal,L3,Offer1,Agent,Two-Door Car,Medsize
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Urban,Single,Corporate,L2,Offer1,Call Center,SUV,Medsize
Oregon,No,Extended,College,Employed,M,Suburban,Divorced,Personal,L1,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,L2,Offer2,Branch,Two-Door Car,Medsize
Nevada,No,Extended,College,Employed,F,Suburban,Married,Corporate,L2,Offer3,Branch,Four-Door Car,Medsize
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Corporate,L1,Offer4,Agent,Luxury,Medsize
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal,L1,Offer3,Branch,Two-Door Car,Small
Oregon,No,Basic,College,Unemployed,M,Suburban,Married,Personal,L1,Offer2,Web,Four-Door Car,Medsize
Oregon,Yes,Premium,College,Employed,M,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,L1,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal,L2,Offer2,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer4,Web,Four-Door Car,Large
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Branch,Two-Door Car,Small
Nevada,No,Basic,College,Employed,M,Suburban,Married,Corporate,L3,Offer4,Call Center,Luxury,Medsize
California,No,Premium,Bachelor,Other,M,Suburban,Divorced,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,L2,Offer4,Branch,Four-Door Car,Medsize
California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal,L2,Offer4,Web,Four-Door Car,Small
Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L1,Offer2,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,Unemployed,F,Rural,Married,Corporate,L2,Offer1,Agent,Luxury,Medsize
Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,L2,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Extended,Doctor,Employed,F,Rural,Single,Personal,L1,Offer1,Web,Four-Door Car,Medsize
Arizona,No,Basic,Master,Unemployed,F,Suburban,Married,Personal,L2,Offer3,Web,SUV,Medsize
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer1,Branch,Luxury,Medsize
Nevada,No,Extended,Doctor,Unemployed,M,Rural,Single,Corporate,L2,Offer1,Web,Four-Door Car,Medsize
California,No,Basic,Doctor,Employed,F,Rural,Divorced,Personal,L2,Offer2,Call Center,SUV,Medsize
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Call Center,Luxury,Medsize
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,L2,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,L1,Offer1,Web,Four-Door Car,Medsize
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer4,Agent,Two-Door Car,Medsize
Washington,No,Basic,Bachelor,Employed,F,Urban,Single,Corporate,L2,Offer1,Branch,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate,L3,Offer2,Branch,Four-Door Car,Medsize
California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal,L2,Offer2,Agent,SUV,Large
Washington,Yes,Basic,College,Employed,M,Suburban,Divorced,Special,L2,Offer1,Agent,Two-Door Car,Medsize
Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Corporate,L1,Offer1,Web,SUV,Medsize
Nevada,No,Premium,College,Unemployed,M,Suburban,Single,Corporate,L3,Offer1,Agent,SUV,Medsize
Oregon,Yes,Basic,College,Employed,M,Urban,Single,Personal,L3,Offer2,Agent,Two-Door Car,Medsize
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Special,L2,Offer1,Branch,Two-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Personal,L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,College,Unemployed,M,Suburban,Single,Corporate,L2,Offer1,Branch,Luxury,Medsize
Washington,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,L2,Offer4,Branch,Two-Door Car,Medsize
Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal,L3,Offer3,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,College,Other,M,Suburban,Married,Special,L3,Offer2,Agent,Two-Door Car,Medsize
California,No,Extended,Doctor,Unemployed,M,Suburban,Divorced,Corporate,L2,Offer4,Web,Four-Door Car,Medsize
Oregon,No,Extended,High School or Below,Employed,M,Rural,Married,Personal,L2,Offer4,Branch,Four-Door Car,Medsize
Arizona,No,Basic,College,Employed,F,Urban,Divorced,Personal,L2,Offer2,Web,Four-Door Car,Small
Oregon,No,Premium,Bachelor,Other,F,Suburban,Married,Corporate,L2,Offer1,Agent,Four-Door Car,Small
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal,L2,Offer1,Branch,Four-Door Car,Medsize
California,Yes,Basic,Bachelor,Employed,F,Urban,Divorced,Personal,L2,Offer2,Web,Two-Door Car,Medsize
Oregon,No,Premium,College,Unemployed,M,Suburban,Married,Personal,L3,Offer2,Branch,SUV,Large
Nevada,No,Basic,Master,Employed,F,Suburban,Divorced,Personal,L1,Offer1,Agent,Four-Door Car,Large
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal,L3,Offer1,Agent,SUV,Medsize
California,No,Premium,College,Employed,F,Suburban,Single,Personal,L2,Offer1,Agent,Four-Door Car,Small
Washington,No,Premium,Doctor,Unemployed,F,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Small
Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L2,Offer1,Branch,Four-Door Car,Large
Arizona,No,Basic,Master,Employed,F,Rural,Divorced,Personal,L2,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal,L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,Yes,Extended,College,Employed,F,Rural,Divorced,Personal,L3,Offer2,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Master,Employed,M,Suburban,Married,Corporate,L2,Offer4,Call Center,Luxury,Medsize
Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal,L3,Offer1,Web,Four-Door Car,Medsize
Nevada,No,Basic,College,Employed,F,Urban,Divorced,Personal,L2,Offer3,Agent,Four-Door Car,Medsize
Washington,No,Basic,College,Employed,M,Suburban,Divorced,Personal,L2,Offer3,Agent,Four-Door Car,Small
Arizona,No,Premium,College,Employed,F,Suburban,Married,Corporate,L3,Offer4,Web,SUV,Medsize
California,No,Basic,Bachelor,Employed,F,Rural,Single,Personal,L3,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Premium,College,Employed,M,Suburban,Married,Personal,L3,Offer1,Branch,Four-Door Car,Small
Oregon,No,Premium,High School or Below,Employed,M,Urban,Married,Corporate,L2,Offer4,Web,Four-Door Car,Large
California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,L1,Offer1,Branch,Four-Door Car,Medsize
Nevada,No,Basic,College,Employed,F,Suburban,Married,Personal,L3,Offer3,Web,Four-Door Car,Medsize
Washington,Yes,Basic,High School or Below,Other,F,Suburban,Divorced,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal,L1,Offer3,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Urban,Divorced,Personal,L3,Offer3,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Corporate,L3,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L1,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate,L2,Offer1,Branch,Four-Door Car,Medsize
California,Yes,Premium,College,Employed,M,Suburban,Married,Personal,L1,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,L2,Offer3,Agent,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Web,Two-Door Car,Medsize
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer3,Branch,Two-Door Car,Large
Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L2,Offer3,Agent,Two-Door Car,Medsize
Oregon,No,Basic,Master,Employed,F,Urban,Married,Corporate,L3,Offer1,Web,Luxury,Medsize
California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Web,Four-Door Car,Medsize
Washington,No,Extended,Master,Employed,F,Urban,Divorced,Personal,L3,Offer2,Agent,Two-Door Car,Medsize
California,No,Extended,College,Unemployed,F,Suburban,Married,Corporate,L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L2,Offer1,Agent,Luxury,Medsize
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Agent,Luxury,Medsize
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate,L3,Offer3,Agent,Four-Door Car,Medsize
Washington,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Extended,Bachelor,Employed,M,Urban,Married,Personal,L1,Offer4,Agent,Four-Door Car,Medsize
Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate,L3,Offer1,Agent,SUV,Small
California,No,Extended,Bachelor,Other,F,Suburban,Married,Personal,L2,Offer1,Branch,Four-Door Car,Medsize
California,Yes,Basic,College,Employed,M,Urban,Married,Personal,L2,Offer2,Agent,Luxury,Medsize
Oregon,Yes,Basic,College,Other,M,Suburban,Married,Personal,L2,Offer1,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,L3,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Extended,College,Employed,F,Rural,Divorced,Personal,L3,Offer1,Agent,Luxury,Medsize
Nevada,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Corporate,L3,Offer2,Agent,Two-Door Car,Large
California,No,Extended,Master,Employed,M,Rural,Married,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
Washington,No,Basic,College,Employed,F,Rural,Divorced,Personal,L3,Offer3,Branch,Four-Door Car,Medsize
Washington,No,Basic,Master,Employed,F,Rural,Married,Personal,L1,Offer4,Call Center,Four-Door Car,Medsize
California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer2,Call Center,Luxury,Medsize
Oregon,Yes,Basic,Master,Employed,M,Suburban,Married,Corporate,L3,Offer3,Web,Two-Door Car,Small
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Master,Other,F,Suburban,Single,Personal,L3,Offer3,Branch,Luxury,Large
California,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,L1,Offer4,Call Center,Four-Door Car,Medsize
Nevada,No,Extended,College,Employed,M,Urban,Married,Corporate,L3,Offer2,Web,Four-Door Car,Medsize
Nevada,No,Basic,Master,Employed,M,Rural,Married,Personal,L3,Offer3,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,L3,Offer2,Call Center,Four-Door Car,Small
California,No,Premium,High School or Below,Unemployed,M,Suburban,Married,Personal,L3,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Corporate,L3,Offer1,Agent,Four-Door Car,Small
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,L2,Offer3,Call Center,Two-Door Car,Medsize
California,No,Basic,College,Employed,F,Rural,Married,Personal,L3,Offer2,Web,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,L1,Offer2,Agent,Two-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer3,Agent,Four-Door Car,Medsize
Oregon,Yes,Extended,College,Employed,F,Urban,Married,Corporate,L3,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,L2,Offer1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,College,Employed,F,Suburban,Married,Personal,L2,Offer3,Web,Four-Door Car,Large
Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal,L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal,L2,Offer1,Call Center,Four-Door Car,Small
California,No,Basic,Master,Employed,F,Suburban,Married,Personal,L3,Offer1,Web,Luxury,Small
California,No,Extended,College,Unemployed,F,Suburban,Single,Corporate,L2,Offer1,Agent,Two-Door Car,Medsize
Nevada,No,Extended,Bachelor,Employed,F,Suburban,Divorced,Special,L3,Offer1,Branch,Four-Door Car,Medsize
California,Yes,Premium,High School or Below,Employed,F,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate,L3,Offer3,Branch,Four-Door Car,Medsize
Oregon,Yes,Basic,High School or Below,Other,F,Suburban,Married,Personal,L2,Offer2,Agent,SUV,Small
Nevada,No,Extended,College,Unemployed,F,Rural,Married,Personal,L2,Offer1,Agent,Two-Door Car,Large
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Corporate,L3,Offer2,Branch,SUV,Medsize
Arizona,No,Basic,High School or Below,Other,F,Suburban,Married,Personal,L1,Offer1,Branch,Luxury,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Small
Nevada,No,Extended,College,Unemployed,M,Suburban,Single,Personal,L2,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L1,Offer4,Web,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Other,M,Suburban,Married,Personal,L2,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Bachelor,Employed,M,Rural,Married,Personal,L3,Offer1,Web,Four-Door Car,Medsize
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Special,L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Extended,Master,Employed,F,Urban,Married,Corporate,L3,Offer3,Agent,SUV,Medsize
Arizona,Yes,Basic,Master,Employed,F,Rural,Single,Personal,L3,Offer2,Web,Four-Door Car,Medsize
California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer2,Agent,Two-Door Car,Small
Oregon,No,Extended,College,Employed,M,Urban,Single,Personal,L1,Offer2,Agent,Two-Door Car,Medsize
Arizona,No,Premium,College,Employed,M,Rural,Married,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,College,Employed,F,Urban,Married,Personal,L2,Offer4,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,M,Rural,Married,Personal,L3,Offer3,Agent,Four-Door Car,Medsize
Washington,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer2,Branch,SUV,Medsize
Washington,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,L2,Offer2,Agent,Two-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Rural,Single,Personal,L3,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Extended,College,Employed,F,Rural,Married,Personal,L3,Offer1,Web,Two-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,College,Employed,M,Rural,Married,Personal,L2,Offer4,Call Center,SUV,Medsize
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer3,Agent,SUV,Medsize
Oregon,No,Basic,College,Other,M,Suburban,Single,Personal,L3,Offer1,Branch,Two-Door Car,Medsize
Arizona,Yes,Extended,Bachelor,Other,F,Suburban,Divorced,Personal,L1,Offer2,Call Center,Four-Door Car,Medsize
California,Yes,Basic,Doctor,Other,F,Suburban,Divorced,Personal,L3,Offer2,Branch,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate,L1,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Urban,Married,Corporate,L3,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,Other,M,Suburban,Single,Corporate,L3,Offer1,Call Center,SUV,Medsize
California,No,Basic,College,Employed,F,Suburban,Married,Personal,L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate,L1,Offer1,Call Center,Two-Door Car,Medsize
Oregon,Yes,Basic,College,Employed,F,Rural,Married,Personal,L3,Offer1,Agent,SUV,Medsize
California,No,Basic,College,Employed,F,Rural,Single,Personal,L2,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Extended,College,Employed,M,Urban,Married,Personal,L2,Offer1,Agent,Two-Door Car,Medsize
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal,L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,M,Rural,Divorced,Personal,L3,Offer4,Web,Four-Door Car,Small
Arizona,No,Extended,Bachelor,Employed,F,Urban,Married,Personal,L3,Offer1,Agent,Four-Door Car,Large
California,No,Basic,Bachelor,Employed,M,Urban,Married,Special,L2,Offer2,Web,Four-Door Car,Small
Arizona,No,Extended,College,Unemployed,M,Suburban,Single,Personal,L1,Offer1,Web,Four-Door Car,Small
Arizona,No,Basic,College,Other,F,Rural,Divorced,Personal,L2,Offer1,Agent,Two-Door Car,Medsize
California,No,Extended,College,Employed,F,Suburban,Married,Personal,L2,Offer4,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate,L3,Offer4,Agent,Four-Door Car,Medsize
Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Corporate,L2,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,L3,Offer3,Web,Two-Door Car,Large
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Special,L1,Offer1,Call Center,SUV,Medsize
California,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal,L2,Offer2,Agent,Luxury,Medsize
